RespondentID,Engage,Develop,Teamwork & Trust,Sustainable Engagement
868,13,7,5,11
869,21,13,10,10
870,22,10,10,14
871,21,12,7,12
872,34,24,16,21
873,11,4,4,7
874,16,11,8,12
875,20,17,11,19
876,30,3,12,21
877,16,6,6,9
878,32,20,16,19
879,16,8,6,10
880,18,12,6,15
881,33,14,9,21
882,10,6,5,8
883,11,6,5,11
884,13,9,8,10
885,15,6,5,13
886,21,10,7,14
887,10,7,5,8
888,25,18,14,15
889,25,15,10,18
890,24,9,7,12
891,12,10,5,11
892,10,7,5,9
893,11,6,5,11
894,19,10,8,10
895,16,11,10,10
896,10,6,5,8
897,14,7,6,8
898,23,15,10,17
899,15,7,8,16
900,12,9,6,10
901,22,10,8,12
902,23,11,9,13
903,29,20,9,19
904,48,25,23,23
905,14,6,5,9
906,31,30,9,16
907,32,21,10,23
908,17,7,5,9
909,24,13,7,14
910,17,6,4,9
911,17,9,8,11
912,29,14,8,18
913,14,8,5,12
914,18,13,9,14
915,13,6,7,8
916,11,5,6,9
917,27,11,15,14
918,23,14,6,20
919,18,8,13,15
920,20,12,8,10
921,15,7,5,10
922,15,8,13,3
923,33,18,12,21
924,10,6,5,8
925,13,8,5,9
926,16,11,5,9
927,25,18,13,12
928,11,6,5,8
929,30,20,12,16
930,19,9,6,10
931,24,15,11,11
932,15,9,7,9
933,16,10,7,10
934,13,8,5,9
935,11,8,5,10
936,29,10,4,23
937,24,2,15,17
938,10,6,5,12
939,44,24,10,23
940,22,16,12,19
941,11,6,8,14
942,10,4,1,9
943,23,12,11,17
944,17,10,8,13
945,20,8,5,12
946,15,10,6,12
947,21,9,13,17
948,22,8,6,7
949,21,13,9,14
950,19,14,7,13
951,13,7,5,9
952,33,21,13,19
953,16,7,6,8
954,23,16,17,20
955,35,22,16,15
956,25,17,11,18
957,10,6,5,8
958,27,12,8,15
959,20,18,17,15
960,10,6,5,8
961,18,10,7,10
962,16,9,5,10
963,24,13,13,29
964,19,11,10,9
965,15,6,4,8
966,38,21,16,21
967,49,29,20,30
968,23,15,16,22
969,13,7,5,9
970,10,6,5,8
971,10,6,5,8
972,21,6,12,12
973,31,18,10,17
974,23,11,9,11
975,30,20,11,17
976,32,19,6,23
977,31,20,17,20
978,14,6,5,9
979,17,6,5,8
980,21,12,10,14
981,19,9,5,11
982,30,14,8,17
983,31,19,11,16
984,12,6,5,8
985,21,17,10,13
986,38,22,18,21
987,21,11,6,13
988,22,21,14,16
989,25,18,12,14
990,20,7,4,10
991,12,8,7,13
992,16,7,6,13
993,24,16,11,13
994,21,9,5,10
995,28,15,14,18
